,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
530,Columbia International University,www.ciu.edu,7435 Monticello Rd,Columbia,Carolina,29203-1513,"4-year, Private not-for-profit",923.0,Private,not-for-profit,0
531,Columbia Southern University,www.columbiasouthern.edu,21982 University Lane,Orange Beach,Alabama,36561,"4-year, Private for-profit",28360.0,Private,for profit,0
532,Columbia Theological Seminary,WWW.CTSNET.EDU,701 S. Columbia Dr,Decatur,Georgia,30030-4118,"4-year, Private not-for-profit",419.0,Private,not-for-profit,0
533,Columbia Union College,www.cuc.edu,7600 Flower Ave,Takoma Park,Maryland,20912,"4-year, Private not-for-profit",960.0,Private,not-for-profit,0
534,Columbia University in the City of New York,www.columbia.edu,116 St and Broadway,New York,York,10027,"4-year, Private not-for-profit",23196.0,Private,not-for-profit,0
535,Columbus College of Art and Design,WWW.CCAD.EDU,107 N Ninth St,Columbus,Ohio,43215,"4-year, Private not-for-profit",1558.0,Private,not-for-profit,0
536,Columbus State University,www.colstate.edu,4225 University Ave,Columbus,Georgia,31907-5645,"4-year, Public",7951.0,Public,not-for-profit,0
537,Conception Seminary College,www.conception.edu,37174 State Hwy V V,Conception,Missouri,64433-0502,"4-year, Private not-for-profit",98.0,Private,not-for-profit,0
538,Concord University,www.concord.edu,100 Vermillion Street,Athens,Virginia,24712,"4-year, Public",2812.0,Public,not-for-profit,0
539,Concordia College,www.concordia-ny.edu,171 White Plains Rd,Bronxville,York,10708-1998,"4-year, Private not-for-profit",707.0,Private,not-for-profit,0
540,Concordia College at Moorhead,www.cord.edu,901 S 8th St,Moorhead,Minnesota,56562,"4-year, Private not-for-profit",2823.0,Private,not-for-profit,0
541,Concordia College-Selma,www.concordiaselma.edu,1804 Green St,Selma,Alabama,36701,"4-year, Private not-for-profit",539.0,Private,not-for-profit,0
542,Concordia Seminary,WWW.CSL.EDU,801 Seminary Place,Saint Louis,Missouri,63105-3196,"4-year, Private not-for-profit",522.0,Private,not-for-profit,0
